_id,year_-_month,product_type,unpackaged_production_units,unpackaged_inventory_units,packaged_production_units,packaged_inventory_units_-_federal_licence_holders,packaged_inventory_units_-_provincial_distributors_and_retailer,sales_units_-_medical,sales_units_-_non-medical,unpackaged_production_kilograms,unpackaged_inventory_kilograms,packaged_production_kilograms,packaged_inventory_kilograms_-_federal_licence_holders,packaged_inventory_kilograms_-_provincial_distributors_and_reta,sales_kilograms_-_medical,sales_kilograms_-_non-medical
266,2022-02 ,vegetative cannabis plants / plantes de cannabis végétatives,2422900,3085459,244,0,0,384,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
267,2022-03 ,vegetative cannabis plants / plantes de cannabis végétatives,2595971,3091661,57,0,0,2336,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
268,2022-04 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,384,393","3,168,718","1,648",0,0,794,27,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
269,2022-05 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,937,809","3,662,437",722,0,7,614,33,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
270,2022-06 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,679,947","3,902,098","4,599",0,44,"2,980",7,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
271,2022-07 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,094,381","3,734,324","1,126",0,0,704,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
272,2022-08 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,074,810","3,259,900",208,0,3,149,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
273,2022-09 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,819,087","2,731,199",14,111,3,52,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
274,2022-10 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,876,313","2,735,704",154,117,2,"2,488",0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
275,2022-11 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,911,992","2,645,631",90,111,4,"1,211",0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
276,2022-12 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,819,911","2,486,045",10,111,0,991,4,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
277,2023-01 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,935,008","2,546,610","1,090",60,0,236,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
278,2023-02 ,vegetative cannabis plants / plantes de cannabis végétatives,"1,761,786","2,659,192",279,0,0,22,253,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
279,2023-03 ,vegetative cannabis plants / plantes de cannabis végétatives,"2,063,292","2,682,534","1,917",119,136,"4,525",757,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
280,2023-04 ,vegetative cannabis plants / plantes de cannabis végétatives,1847854,2877371,2740,0,183,96,1769,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
281,2023-05 ,vegetative cannabis plants / plantes de cannabis végétatives,2229726,2967779,4156,514,227,3808,3284,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
282,2023-06 ,vegetative cannabis plants / plantes de cannabis végétatives,2068097,3050582,1821,464,286,4120,6158,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
283,2019-10 ,whole cannabis plants / plantes de cannabis entières,1419889,2532483,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
284,2019-11 ,whole cannabis plants / plantes de cannabis entières,1274336,2371870,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
285,2019-12 ,whole cannabis plants / plantes de cannabis entières,1470283,2568565,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
286,2020-01 ,whole cannabis plants / plantes de cannabis entières,1481252,2575352,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
287,2020-02 ,whole cannabis plants / plantes de cannabis entières,1434562,2726490,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
288,2020-03 ,whole cannabis plants / plantes de cannabis entières,1712330,2967146,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
289,2020-04 ,whole cannabis plants / plantes de cannabis entières,1749090,3224931,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
290,2020-05 ,whole cannabis plants / plantes de cannabis entières,1647312,3137131,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
291,2020-06 ,whole cannabis plants / plantes de cannabis entières,1770954,3034803,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
292,2020-07 ,whole cannabis plants / plantes de cannabis entières,1955526,3179929,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
293,2020-08 ,whole cannabis plants / plantes de cannabis entières,1719068,3555001,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
294,2020-09 ,whole cannabis plants / plantes de cannabis entières,1587402,2977751,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
295,2020-10 ,whole cannabis plants / plantes de cannabis entières,1693769,3117193,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
296,2020-11 ,whole cannabis plants / plantes de cannabis entières,1171934,2780018,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
297,2020-12 ,whole cannabis plants / plantes de cannabis entières,1252196,2730170,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
298,2021-01 ,whole cannabis plants / plantes de cannabis entières,1582537,2779054,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
299,2021-02 ,whole cannabis plants / plantes de cannabis entières,1656371,2867283,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
300,2021-03 ,whole cannabis plants / plantes de cannabis entières,1780444,2794105,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
301,2021-04 ,whole cannabis plants / plantes de cannabis entières,1706217,2814676,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
302,2021-05 ,whole cannabis plants / plantes de cannabis entières,1834527,2858134,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
303,2021-06 ,whole cannabis plants / plantes de cannabis entières,1930978,2813991,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
304,2021-07 ,whole cannabis plants / plantes de cannabis entières,2417086,3337713,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
305,2021-08 ,whole cannabis plants / plantes de cannabis entières,2326451,3576697,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
306,2021-09 ,whole cannabis plants / plantes de cannabis entières,2175796,3752522,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
307,2021-10 ,whole cannabis plants / plantes de cannabis entières,1777893,3175277,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
308,2021-11 ,whole cannabis plants / plantes de cannabis entières,1871755,3002000,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
309,2021-12 ,whole cannabis plants / plantes de cannabis entières,1988492,3215507,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
310,2022-01 ,whole cannabis plants / plantes de cannabis entières,1404377,3090553,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
311,2022-02 ,whole cannabis plants / plantes de cannabis entières,1510040,3077921,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
312,2022-03 ,whole cannabis plants / plantes de cannabis entières,1510306,2833597,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
313,2022-04 ,whole cannabis plants / plantes de cannabis entières,"1,372,902","2,745,346",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
314,2022-05 ,whole cannabis plants / plantes de cannabis entières,"1,411,510","2,663,888",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
315,2022-06 ,whole cannabis plants / plantes de cannabis entières,"1,423,657","2,596,437",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
316,2022-07 ,whole cannabis plants / plantes de cannabis entières,"1,427,299","2,666,539",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
317,2022-08 ,whole cannabis plants / plantes de cannabis entières,"1,806,039","3,049,530",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
318,2022-09 ,whole cannabis plants / plantes de cannabis entières,"1,448,054","2,835,271",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
319,2022-10 ,whole cannabis plants / plantes de cannabis entières,"1,202,940","2,482,464",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
320,2022-11 ,whole cannabis plants / plantes de cannabis entières,"1,150,896","2,285,130",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
321,2022-12 ,whole cannabis plants / plantes de cannabis entières,"1,247,186","2,368,437",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
322,2023-01 ,whole cannabis plants / plantes de cannabis entières,"1,104,490","2,214,383",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
323,2023-02 ,whole cannabis plants / plantes de cannabis entières,"1,093,431","2,185,240",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
324,2023-03 ,whole cannabis plants / plantes de cannabis entières,"1,213,302","2,168,508",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
325,2023-04 ,whole cannabis plants / plantes de cannabis entières,1098802,2165664,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
326,2023-05 ,whole cannabis plants / plantes de cannabis entières,1194395,1969771,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
327,2023-06 ,whole cannabis plants / plantes de cannabis entières,1227466,2015086,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
